Region,Year,Predicted_Births_LSTM,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child,Total_Grundskola_Cost,Total_Gymnasieskola_Cost
4,2034,2806.9236,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1300904646.196383,838276804.0956153
5,2034,4615.5244,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,2139123821.037656,1378408391.0432518
6,2034,3873.6663,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1795300195.3755891,1156855357.978709
7,2034,2065.8296,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,957435152.4530327,616951966.520971
8,2034,2168.2651,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1004910195.1957172,647543929.7528652
9,2034,479.7201,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,222332416.51600116,143266540.0256811
10,2034,1508.8823,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,699310802.2724539,450621823.9072988
12,2034,13187.095,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,6111727855.839429,3938274576.445638
13,2034,3117.474,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1444833201.3726428,931021471.8958415
14,2034,18338.133,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,8499042304.631026,5476612019.051868
17,2034,2664.6394,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1234961213.7280624,795784181.7637137
18,2034,3063.956,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1420029599.7159612,915038529.5736531
19,2034,2750.0442,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1274543160.7135353,821289992.7513819
20,2034,2612.1682,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1210642764.9211552,780113862.1857024
21,2034,2484.959,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1151686034.029397,742123329.9077451
22,2034,2296.5151,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1064349298.1605026,685845292.8983611
23,2034,1277.9167,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,592266840.6371834,381644846.75550663
24,2034,2648.0874,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1227289977.6089735,790840991.4106201
25,2034,2274.048,215125.93585610396,248336.85529232025,152776.85073566437,145869.25566196442,1053936633.2854917,679135580.9613149
1,2035,26081.824,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,14912026944.213932,7900490833.159282
3,2035,3854.8975,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,2203999819.4598246,1167693730.3740196
4,2035,2818.5962,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1611504719.8868835,853785894.7471459
5,2035,4639.63,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,2652662926.150536,1405398421.684419
